bubbleSortPassPerItem, Character, partSorted, 124095345355394, 124095348205389, 2849995
bubbleSortPassPerItem, Character, partSorted, 124095348235249, 124095350744777, 2509528
bubbleSortPassPerItem, Character, partSorted, 124095350793476, 124095353622329, 2828853
bubbleSortPassPerItem, Character, partSorted, 124095353645111, 124095356775752, 3130641
bubbleSortPassPerItem, Character, partSorted, 124095356820085, 124095359935889, 3115804
bubbleSortPassPerItem, Character, partSorted, 124095359963370, 124095362865206, 2901836
bubbleSortPassPerItem, Character, partSorted, 124095362893573, 124095365864842, 2971269
bubbleSortPassPerItem, Character, partSorted, 124095365896168, 124095368660923, 2764755
bubbleSortPassPerItem, Character, partSorted, 124095368694013, 124095371871494, 3177481
bubbleSortPassPerItem, Character, partSorted, 124095371959117, 124095374749577, 2790460
bubbleSortPassPerItem, Character, partSorted, 124095374786265, 124095377819217, 3032952
bubbleSortPassPerItem, Character, partSorted, 124095377973352, 124095381808862, 3835510
bubbleSortPassPerItem, Character, partSorted, 124095381863224, 124095385422713, 3559489
bubbleSortPassPerItem, Character, partSorted, 124095385488918, 124095388917547, 3428629
bubbleSortPassPerItem, Character, partSorted, 124095388995759, 124095392446181, 3450422
bubbleSortPassPerItem, Character, partSorted, 124095392497427, 124095395928428, 3431001
bubbleSortPassPerItem, Character, partSorted, 124095396073869, 124095398682548, 2608679
bubbleSortPassPerItem, Character, partSorted, 124095398714453, 124095401955865, 3241412
bubbleSortPassPerItem, Character, partSorted, 124095402020522, 124095405693434, 3672912
bubbleSortPassPerItem, Character, partSorted, 124095405792802, 124095409636177, 3843375
bubbleSortPassPerItem, Character, partSorted, 124095409723982, 124095412899768, 3175786
bubbleSortPassPerItem, Character, partSorted, 124095413020290, 124095415487074, 2466784
bubbleSortPassPerItem, Character, partSorted, 124095415523365, 124095418860722, 3337357
bubbleSortPassPerItem, Character, partSorted, 124095418981274, 124095423091238, 4109964
bubbleSortPassPerItem, Character, partSorted, 124095423170364, 124095426379048, 3208684
bubbleSortPassPerItem, Character, partSorted, 124095426488419, 124095431065297, 4576878
bubbleSortPassPerItem, Character, partSorted, 124095431188824, 124095434429954, 3241130
bubbleSortPassPerItem, Character, partSorted, 124095434593389, 124095438242794, 3649405
bubbleSortPassPerItem, Character, partSorted, 124095438335168, 124095441627302, 3292134
bubbleSortPassPerItem, Character, partSorted, 124095441722132, 124095444979607, 3257475
bubbleSortPassPerItem, Character, partSorted, 124095445025398, 124095447728730, 2703332
bubbleSortPassPerItem, Character, partSorted, 124095447758938, 124095450561790, 2802852
