bubbleSortPassPerItem, int, sorted, 122737694882122, 122737698197549, 3315427
bubbleSortPassPerItem, int, sorted, 122737698236422, 122737702424256, 4187834
bubbleSortPassPerItem, int, sorted, 122737702612251, 122737706156000, 3543749
bubbleSortPassPerItem, int, sorted, 122737706281816, 122737709768575, 3486759
bubbleSortPassPerItem, int, sorted, 122737709824701, 122737713069550, 3244849
bubbleSortPassPerItem, int, sorted, 122737713108372, 122737716446369, 3337997
bubbleSortPassPerItem, int, sorted, 122737716491471, 122737720972601, 4481130
bubbleSortPassPerItem, int, sorted, 122737721058720, 122737724433419, 3374699
bubbleSortPassPerItem, int, sorted, 122737724508813, 122737728419831, 3911018
bubbleSortPassPerItem, int, sorted, 122737728513628, 122737731787340, 3273712
bubbleSortPassPerItem, int, sorted, 122737731937307, 122737735887157, 3949850
bubbleSortPassPerItem, int, sorted, 122737736030825, 122737739469710, 3438885
bubbleSortPassPerItem, int, sorted, 122737739642841, 122737743086517, 3443676
bubbleSortPassPerItem, int, sorted, 122737743141571, 122737746452207, 3310636
bubbleSortPassPerItem, int, sorted, 122737746489221, 122737749833065, 3343844
bubbleSortPassPerItem, int, sorted, 122737749877400, 122737754117121, 4239721
bubbleSortPassPerItem, int, sorted, 122737754214700, 122737757717766, 3503066
bubbleSortPassPerItem, int, sorted, 122737757821376, 122737761031911, 3210535
bubbleSortPassPerItem, int, sorted, 122737761069738, 122737764238346, 3168608
bubbleSortPassPerItem, int, sorted, 122737764276409, 122737767906182, 3629773
bubbleSortPassPerItem, int, sorted, 122737768020266, 122737772366259, 4345993
bubbleSortPassPerItem, int, sorted, 122737772505774, 122737775736532, 3230758
bubbleSortPassPerItem, int, sorted, 122737775798665, 122737779305909, 3507244
bubbleSortPassPerItem, int, sorted, 122737779441039, 122737782864059, 3423020
bubbleSortPassPerItem, int, sorted, 122737782958859, 122737787587745, 4628886
bubbleSortPassPerItem, int, sorted, 122737787770008, 122737791324298, 3554290
bubbleSortPassPerItem, int, sorted, 122737791433011, 122737794696765, 3263754
bubbleSortPassPerItem, int, sorted, 122737794739281, 122737798121154, 3381873
bubbleSortPassPerItem, int, sorted, 122737798167139, 122737801740919, 3573780
bubbleSortPassPerItem, int, sorted, 122737801816803, 122737806247822, 4431019
bubbleSortPassPerItem, int, sorted, 122737806368958, 122737809727094, 3358136
bubbleSortPassPerItem, int, sorted, 122737809768870, 122737813066000, 3297130
bubbleSortPassPerItem, int, sorted, 122737813110191, 122737816320815, 3210624
bubbleSortPassPerItem, int, sorted, 122737816361926, 122737821216205, 4854279
bubbleSortPassPerItem, int, sorted, 122737821322842, 122737824827089, 3504247
bubbleSortPassPerItem, int, sorted, 122737824931265, 122737828356589, 3425324
bubbleSortPassPerItem, int, sorted, 122737828430052, 122737831668034, 3237982
bubbleSortPassPerItem, int, sorted, 122737831701339, 122737835685404, 3984065
bubbleSortPassPerItem, int, partSorted, 122737930073610, 122737934000721, 3927111
bubbleSortPassPerItem, int, partSorted, 122737934212470, 122737938753224, 4540754
bubbleSortPassPerItem, int, partSorted, 122737938899631, 122737942509635, 3610004
bubbleSortPassPerItem, int, partSorted, 122737942611473, 122737945975857, 3364384
bubbleSortPassPerItem, int, partSorted, 122737946067528, 122737949675000, 3607472
bubbleSortPassPerItem, int, partSorted, 122737949802311, 122737954234363, 4432052
bubbleSortPassPerItem, int, partSorted, 122737954449875, 122737957914286, 3464411
bubbleSortPassPerItem, int, partSorted, 122737958029164, 122737961333297, 3304133
bubbleSortPassPerItem, int, partSorted, 122737961371561, 122737965207220, 3835659
bubbleSortPassPerItem, int, partSorted, 122737965295826, 122737969747155, 4451329
bubbleSortPassPerItem, int, partSorted, 122737969894571, 122737973372009, 3477438
bubbleSortPassPerItem, int, partSorted, 122737973463597, 122737976828259, 3364662
bubbleSortPassPerItem, int, partSorted, 122737976873713, 122737980151379, 3277666
bubbleSortPassPerItem, int, partSorted, 122737980183400, 122737983338386, 3154986
bubbleSortPassPerItem, int, partSorted, 122737983370330, 122737987801330, 4431000
bubbleSortPassPerItem, int, partSorted, 122737987916122, 122737991282776, 3366654
bubbleSortPassPerItem, int, partSorted, 122737991359536, 122737994643726, 3284190
bubbleSortPassPerItem, int, partSorted, 122737994682486, 122737997887570, 3205084
bubbleSortPassPerItem, int, partSorted, 122737997918739, 122738001441603, 3522864
bubbleSortPassPerItem, int, partSorted, 122738001590454, 122738005621719, 4031265
bubbleSortPassPerItem, int, partSorted, 122738005778658, 122738009122268, 3343610
bubbleSortPassPerItem, int, partSorted, 122738009167401, 122738012459272, 3291871
bubbleSortPassPerItem, int, partSorted, 122738012496617, 122738015647335, 3150718
bubbleSortPassPerItem, int, partSorted, 122738015676255, 122738019752824, 4076569
bubbleSortPassPerItem, int, partSorted, 122738019865910, 122738023267819, 3401909
bubbleSortPassPerItem, int, partSorted, 122738023349936, 122738026681937, 3332001
bubbleSortPassPerItem, int, partSorted, 122738026718696, 122738029946029, 3227333
bubbleSortPassPerItem, int, partSorted, 122738029976852, 122738033204417, 3227565
bubbleSortPassPerItem, int, partSorted, 122738033276944, 122738037686355, 4409411
bubbleSortPassPerItem, int, partSorted, 122738037805936, 122738041500529, 3694593
bubbleSortPassPerItem, int, partSorted, 122738041568454, 122738044897427, 3328973
bubbleSortPassPerItem, int, partSorted, 122738044939608, 122738048216730, 3277122
bubbleSortPassPerItem, int, partSorted, 122738048247284, 122738052151034, 3903750
bubbleSortPassPerItem, int, partSorted, 122738052326750, 122738056247907, 3921157
bubbleSortPassPerItem, int, partSorted, 122738056355518, 122738059508735, 3153217
bubbleSortPassPerItem, int, partSorted, 122738059542488, 122738062796543, 3254055
bubbleSortPassPerItem, int, partSorted, 122738062828416, 122738065982113, 3153697
bubbleSortPassPerItem, int, partSorted, 122738066011723, 122738070307743, 4296020
bubbleSortPassPerItem, int, partSorted, 122738070412343, 122738074007709, 3595366
bubbleSortPassPerItem, int, partSorted, 122738074093419, 122738077301552, 3208133
bubbleSortPassPerItem, int, partSorted, 122738077342945, 122738080548630, 3205685
bubbleSortPassPerItem, int, partSorted, 122738080582498, 122738084650352, 4067854
bubbleSortPassPerItem, int, partSorted, 122738084772885, 122738089468094, 4695209
bubbleSortPassPerItem, int, partSorted, 122738089604936, 122738092932706, 3327770
