bubbleSortPassPerItem, int, sorted, 126599994614458, 126600341805107, 347190649
bubbleSortPassPerItem, int, sorted, 126600341951358, 126600690420659, 348469301
bubbleSortPassPerItem, int, sorted, 126600690569924, 126601067792355, 377222431
bubbleSortPassPerItem, int, sorted, 126601068080673, 126601413192021, 345111348
bubbleSortPassPerItem, int, sorted, 126601413306664, 126601758574515, 345267851
bubbleSortPassPerItem, int, sorted, 126601758724974, 126602105226069, 346501095
bubbleSortPassPerItem, int, sorted, 126602105347638, 126602450938625, 345590987
bubbleSortPassPerItem, int, sorted, 126602451041884, 126602799623354, 348581470
bubbleSortPassPerItem, int, sorted, 126602799724806, 126603146667711, 346942905
bubbleSortPassPerItem, int, sorted, 126603146788725, 126603493234805, 346446080
bubbleSortPassPerItem, int, sorted, 126603493368606, 126603842209597, 348840991
bubbleSortPassPerItem, int, sorted, 126603842330360, 126604204198622, 361868262
bubbleSortPassPerItem, int, sorted, 126604204327849, 126604549763422, 345435573
bubbleSortPassPerItem, int, sorted, 126604549890808, 126604894005135, 344114327
bubbleSortPassPerItem, int, sorted, 126604894138209, 126605241008246, 346870037
bubbleSortPassPerItem, int, sorted, 126605241232593, 126605588496791, 347264198
bubbleSortPassPerItem, int, sorted, 126605588811547, 126605940989255, 352177708
bubbleSortPassPerItem, int, partSorted, 126615392828293, 126615767276525, 374448232
bubbleSortPassPerItem, int, partSorted, 126615767442368, 126616141963105, 374520737
bubbleSortPassPerItem, int, partSorted, 126616142078520, 126616523983646, 381905126
bubbleSortPassPerItem, int, partSorted, 126616524190767, 126616902694382, 378503615
bubbleSortPassPerItem, int, partSorted, 126616902964884, 126617276876405, 373911521
bubbleSortPassPerItem, int, partSorted, 126617277029982, 126617651861107, 374831125
bubbleSortPassPerItem, int, partSorted, 126617652103256, 126618029327514, 377224258
bubbleSortPassPerItem, int, partSorted, 126618029533072, 126618407825636, 378292564
bubbleSortPassPerItem, int, partSorted, 126618407965596, 126618787992529, 380026933
bubbleSortPassPerItem, int, partSorted, 126618788190896, 126619182265919, 394075023
bubbleSortPassPerItem, int, partSorted, 126619182383303, 126619558063019, 375679716
bubbleSortPassPerItem, int, partSorted, 126619558185560, 126619934037120, 375851560
bubbleSortPassPerItem, int, partSorted, 126619934187354, 126620309719937, 375532583
bubbleSortPassPerItem, int, partSorted, 126620309852180, 126620684089097, 374236917
bubbleSortPassPerItem, int, partSorted, 126620684217376, 126621062784468, 378567092
bubbleSortPassPerItem, int, partSorted, 126621062870730, 126621439861524, 376990794
bubbleSortPassPerItem, int, partSorted, 126621440185909, 126621815994133, 375808224
bubbleSortPassPerItem, int, partSorted, 126621816115553, 126622194762483, 378646930
bubbleSortPassPerItem, int, partSorted, 126622194889792, 126622594318791, 399428999
bubbleSortPassPerItem, int, partSorted, 126622594463009, 126622968458980, 373995971
bubbleSortPassPerItem, int, partSorted, 126622968578111, 126623356409134, 387831023
bubbleSortPassPerItem, int, partSorted, 126623356543322, 126623750149331, 393606009
bubbleSortPassPerItem, int, partSorted, 126623750281949, 126624191357475, 441075526
bubbleSortPassPerItem, int, partSorted, 126624191549204, 126624604462902, 412913698
bubbleSortPassPerItem, int, partSorted, 126624604685763, 126625009351336, 404665573
bubbleSortPassPerItem, int, partSorted, 126625009483109, 126625428412839, 418929730
bubbleSortPassPerItem, int, partSorted, 126625428545952, 126625819951603, 391405651
