bubbleSortPassPerItem, Character, sorted, 129513732868392, 129514062913635, 330045243
bubbleSortPassPerItem, Character, sorted, 129514063017471, 129514397194065, 334176594
bubbleSortPassPerItem, Character, sorted, 129514397309032, 129514727578498, 330269466
bubbleSortPassPerItem, Character, sorted, 129514727691949, 129515057824945, 330132996
bubbleSortPassPerItem, Character, sorted, 129515057952468, 129515388119718, 330167250
bubbleSortPassPerItem, Character, sorted, 129515388277296, 129515718573848, 330296552
bubbleSortPassPerItem, Character, sorted, 129515718662860, 129516048668364, 330005504
bubbleSortPassPerItem, Character, sorted, 129516048795740, 129516378748874, 329953134
bubbleSortPassPerItem, Character, sorted, 129516378866173, 129516710112648, 331246475
bubbleSortPassPerItem, Character, sorted, 129516710285849, 129517042479100, 332193251
bubbleSortPassPerItem, Character, sorted, 129517042607478, 129517374449941, 331842463
bubbleSortPassPerItem, Character, sorted, 129517374590496, 129517706589309, 331998813
bubbleSortPassPerItem, Character, sorted, 129517706783760, 129518039504536, 332720776
bubbleSortPassPerItem, Character, sorted, 129518039640186, 129518371894974, 332254788
bubbleSortPassPerItem, Character, sorted, 129518372078076, 129518704312756, 332234680
bubbleSortPassPerItem, Character, sorted, 129518704478177, 129519035363776, 330885599
bubbleSortPassPerItem, Character, sorted, 129519035503081, 129519368630136, 333127055
bubbleSortPassPerItem, Character, sorted, 129519368732979, 129519698631692, 329898713
bubbleSortPassPerItem, Character, sorted, 129519698741103, 129520028611521, 329870418
bubbleSortPassPerItem, Character, sorted, 129520028729976, 129520358856163, 330126187
bubbleSortPassPerItem, Character, sorted, 129520359005172, 129520689258460, 330253288
bubbleSortPassPerItem, Character, sorted, 129520689382553, 129521019125052, 329742499
bubbleSortPassPerItem, Character, sorted, 129521019230096, 129521349605368, 330375272
bubbleSortPassPerItem, Character, sorted, 129521349720665, 129521679560545, 329839880
bubbleSortPassPerItem, Character, sorted, 129521679690615, 129522009431712, 329741097
bubbleSortPassPerItem, Character, sorted, 129522026037339, 129522357667384, 331630045
bubbleSortPassPerItem, Character, sorted, 129522357874597, 129522688376261, 330501664
bubbleSortPassPerItem, Character, sorted, 129522688509362, 129523018684348, 330174986
bubbleSortPassPerItem, Character, sorted, 129523018786309, 129523349096992, 330310683
bubbleSortPassPerItem, Character, sorted, 129523349224238, 129523679378853, 330154615
bubbleSortPassPerItem, Character, sorted, 129523679510090, 129524009917394, 330407304
bubbleSortPassPerItem, Character, sorted, 129524010074896, 129524344633017, 334558121
bubbleSortPassPerItem, Character, sorted, 129524344753691, 129524675653541, 330899850
bubbleSortPassPerItem, Character, sorted, 129524675780055, 129525005562002, 329781947
bubbleSortPassPerItem, Character, partSorted, 129534049409196, 129534410446647, 361037451
bubbleSortPassPerItem, Character, partSorted, 129534410571669, 129534766896776, 356325107
bubbleSortPassPerItem, Character, partSorted, 129534767003845, 129535124389153, 357385308
bubbleSortPassPerItem, Character, partSorted, 129535124523835, 129535481187006, 356663171
bubbleSortPassPerItem, Character, partSorted, 129535481314968, 129535837829719, 356514751
bubbleSortPassPerItem, Character, partSorted, 129535837973272, 129536195742945, 357769673
bubbleSortPassPerItem, Character, partSorted, 129536195855090, 129536552383180, 356528090
bubbleSortPassPerItem, Character, partSorted, 129536552556807, 129536910400444, 357843637
bubbleSortPassPerItem, Character, partSorted, 129536910540920, 129537290383960, 379843040
bubbleSortPassPerItem, Character, partSorted, 129537290497204, 129537647389378, 356892174
bubbleSortPassPerItem, Character, partSorted, 129537647502718, 129538004592269, 357089551
bubbleSortPassPerItem, Character, partSorted, 129538004726449, 129538361982371, 357255922
bubbleSortPassPerItem, Character, partSorted, 129538362082821, 129538718920876, 356838055
bubbleSortPassPerItem, Character, partSorted, 129538719019022, 129539075949369, 356930347
bubbleSortPassPerItem, Character, partSorted, 129539076067645, 129539438758462, 362690817
bubbleSortPassPerItem, Character, partSorted, 129539438894597, 129539795990295, 357095698
bubbleSortPassPerItem, Character, partSorted, 129539796190807, 129540152911710, 356720903
bubbleSortPassPerItem, Character, partSorted, 129540153034070, 129540510412911, 357378841
bubbleSortPassPerItem, Character, partSorted, 129540510519400, 129540867244742, 356725342
bubbleSortPassPerItem, Character, partSorted, 129540867347677, 129541223849362, 356501685
bubbleSortPassPerItem, Character, partSorted, 129541223998205, 129541581589784, 357591579
bubbleSortPassPerItem, Character, partSorted, 129541581689560, 129541938107012, 356417452
bubbleSortPassPerItem, Character, partSorted, 129541938202238, 129542295049074, 356846836
bubbleSortPassPerItem, Character, partSorted, 129542295163783, 129542652272098, 357108315
bubbleSortPassPerItem, Character, partSorted, 129542652374245, 129543009039698, 356665453
bubbleSortPassPerItem, Character, partSorted, 129543009165749, 129543372567921, 363402172
bubbleSortPassPerItem, Character, partSorted, 129543372691455, 129543736687099, 363995644
bubbleSortPassPerItem, Character, partSorted, 129543736810295, 129544101299736, 364489441
bubbleSortPassPerItem, Character, partSorted, 129544101428080, 129544468901047, 367472967
bubbleSortPassPerItem, Character, partSorted, 129544469025389, 129544833109139, 364083750
bubbleSortPassPerItem, Character, partSorted, 129544833251206, 129545196477710, 363226504
bubbleSortPassPerItem, Character, partSorted, 129545196605827, 129545560361690, 363755863
bubbleSortPassPerItem, Character, partSorted, 129545560523228, 129545924637278, 364114050
bubbleSortPassPerItem, Character, partSorted, 129545924757430, 129546288895643, 364138213
bubbleSortPassPerItem, Character, partSorted, 129546289015038, 129546647803870, 358788832
bubbleSortPassPerItem, Character, partSorted, 129546647946732, 129547005722366, 357775634
bubbleSortPassPerItem, Character, partSorted, 129547005825377, 129547363152679, 357327302
bubbleSortPassPerItem, Character, partSorted, 129547363301177, 129547720619715, 357318538
bubbleSortPassPerItem, Character, partSorted, 129547720726598, 129548078263012, 357536414
bubbleSortPassPerItem, Character, partSorted, 129548078361261, 129548436013527, 357652266
bubbleSortPassPerItem, Character, partSorted, 129548436124380, 129548793110677, 356986297
bubbleSortPassPerItem, Character, partSorted, 129548793209414, 129549150680992, 357471578
bubbleSortPassPerItem, Character, partSorted, 129549150783080, 129549512178852, 361395772
bubbleSortPassPerItem, Character, partSorted, 129549512283717, 129549869422394, 357138677
bubbleSortPassPerItem, Character, partSorted, 129549869524039, 129550226858438, 357334399
bubbleSortPassPerItem, Character, partSorted, 129550226960493, 129550584255870, 357295377
bubbleSortPassPerItem, Character, partSorted, 129550584369639, 129550941375330, 357005691
bubbleSortPassPerItem, Character, partSorted, 129550941478475, 129551300113687, 358635212
bubbleSortPassPerItem, Character, partSorted, 129551300248020, 129551657658028, 357410008
bubbleSortPassPerItem, Character, partSorted, 129551657769363, 129552014974901, 357205538
bubbleSortPassPerItem, Character, partSorted, 129552015100048, 129552373001134, 357901086
bubbleSortPassPerItem, Character, partSorted, 129552373145525, 129552731268564, 358123039
bubbleSortPassPerItem, Character, partSorted, 129552731387615, 129553100978208, 369590593
bubbleSortPassPerItem, Character, partSorted, 129553101110633, 129553461272852, 360162219
bubbleSortPassPerItem, Character, partSorted, 129553461382685, 129553818419805, 357037120
bubbleSortPassPerItem, Character, partSorted, 129553818535592, 129554176005976, 357470384
bubbleSortPassPerItem, Character, partSorted, 129554176112645, 129554539341240, 363228595
bubbleSortPassPerItem, Character, partSorted, 129554539459456, 129554897956526, 358497070
bubbleSortPassPerItem, Character, partSorted, 129554898061942, 129555267287177, 369225235
bubbleSortPassPerItem, Character, partSorted, 129555267419228, 129555638701143, 371281915
bubbleSortPassPerItem, Character, partSorted, 129555638824377, 129556003839709, 365015332
bubbleSortPassPerItem, Character, partSorted, 129556003960202, 129556364409187, 360448985
bubbleSortPassPerItem, Character, partSorted, 129556364502685, 129556737458478, 372955793
bubbleSortPassPerItem, Character, partSorted, 129556737602961, 129557104323293, 366720332
bubbleSortPassPerItem, Character, partSorted, 129557104466280, 129557469404662, 364938382
bubbleSortPassPerItem, Character, partSorted, 129557469552146, 129557833007307, 363455161
bubbleSortPassPerItem, Character, partSorted, 129557833126893, 129558194570043, 361443150
bubbleSortPassPerItem, Character, partSorted, 129558194680557, 129558557129650, 362449093
bubbleSortPassPerItem, Character, partSorted, 129558557257507, 129558916028984, 358771477
bubbleSortPassPerItem, Character, partSorted, 129558916140134, 129559279517794, 363377660
bubbleSortPassPerItem, Character, partSorted, 129559279619971, 129559639695708, 360075737
bubbleSortPassPerItem, Character, partSorted, 129559639810683, 129560017523668, 377712985
bubbleSortPassPerItem, Character, partSorted, 129560017619317, 129560377478073, 359858756
bubbleSortPassPerItem, Character, partSorted, 129560377600482, 129560737222943, 359622461
bubbleSortPassPerItem, Character, partSorted, 129560737337727, 129561096088118, 358750391
bubbleSortPassPerItem, Character, partSorted, 129561096224211, 129561454387400, 358163189
bubbleSortPassPerItem, Character, partSorted, 129561454497296, 129561812389661, 357892365
bubbleSortPassPerItem, Character, partSorted, 129561812512392, 129562170979759, 358467367
bubbleSortPassPerItem, Character, partSorted, 129562171093304, 129562528754943, 357661639
bubbleSortPassPerItem, Character, partSorted, 129562528881242, 129562886314037, 357432795
bubbleSortPassPerItem, Character, partSorted, 129562886434219, 129563246203384, 359769165
bubbleSortPassPerItem, Character, partSorted, 129563246333953, 129563604112809, 357778856
bubbleSortPassPerItem, Character, partSorted, 129563604227484, 129563962437835, 358210351
bubbleSortPassPerItem, Character, partSorted, 129563962586401, 129564328568894, 365982493
bubbleSortPassPerItem, Character, partSorted, 129564328733802, 129564689868445, 361134643
bubbleSortPassPerItem, Character, partSorted, 129564690071172, 129565059302426, 369231254
bubbleSortPassPerItem, Character, partSorted, 129565059417849, 129565419363309, 359945460
bubbleSortPassPerItem, Character, partSorted, 129565419483520, 129565778494780, 359011260
bubbleSortPassPerItem, Character, partSorted, 129565778619664, 129566145436771, 366817107
bubbleSortPassPerItem, Character, partSorted, 129566145577586, 129566503204323, 357626737
bubbleSortPassPerItem, Character, partSorted, 129566503323968, 129566860468087, 357144119
bubbleSortPassPerItem, Character, partSorted, 129566860585701, 129567218314828, 357729127
bubbleSortPassPerItem, Character, partSorted, 129567218447908, 129567574867929, 356420021
bubbleSortPassPerItem, Character, partSorted, 129567574973490, 129567931226112, 356252622
bubbleSortPassPerItem, Character, partSorted, 129567931349063, 129568287416532, 356067469
bubbleSortPassPerItem, Character, partSorted, 129568287520375, 129568644043714, 356523339
bubbleSortPassPerItem, Character, partSorted, 129568644179269, 129569000076373, 355897104
bubbleSortPassPerItem, Character, partSorted, 129569000185367, 129569361105157, 360919790
bubbleSortPassPerItem, Character, partSorted, 129569361205883, 129569737140662, 375934779
bubbleSortPassPerItem, Character, partSorted, 129569737321016, 129570092650146, 355329130
bubbleSortPassPerItem, Character, partSorted, 129570092752872, 129570449562521, 356809649
bubbleSortPassPerItem, Character, partSorted, 129570449687060, 129570805509427, 355822367
